,,,,,,Response time in milliseconds,,,,,,
,,,,,,,,,,,,
Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
05.16 /aura?r=23&aura.ApexAction.execute=1-319,429,3346,555,4224,12623,46930,74,79824,2.10%,0.25691,0.48,0.6
05.17 /aura?r=25&aura.ApexAction.execute=1-321,429,4262,586,3869,11988,70105,445,237212,2.80%,0.25639,0.45,0.59
05.18 /aura?r=21&aura.ApexAction.execute=1-317,427,3045,227,3912,13370,34232,160,178602,2.11%,0.25689,0.47,0.58
05.19 /aura?r=22&aura.ApexAction.execute=1-318,427,4294,139,6602,18917,67844,114,180378,2.58%,0.25642,0.44,0.56
05.20 /aura?r=20&aura.ApexAction.execute=1-316,427,5289,135,9147,22043,85737,111,216674,3.28%,0.25592,0.44,0.57
05.21 /aura?r=75&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-501,427,5869,173,9082,28384,91686,136,241012,2.58%,0.25471,0.46,12.46
05.22 /aura?r=74&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-500,425,9524,221,22353,47291,147420,167,241031,4.24%,0.25578,0.47,24.41
05.23 /aura?r=26&aura.ApexAction.execute=7&aura.RecordUi.getRecordWithFields=1&ui-global-components-one-workspaceTabWrapper.WorkspaceTabWrapper.getThemeForEntityApiName=1-323,425,6799,2941,12230,28976,70732,1693,172489,3.53%,0.25532,0.95,1.63
05. Customer Details,425,79704,16272,290724,336720,415868,8929,468614,8.71%,0.25407,15.66,48.99
TOTAL,31019,10254,489,15224,51503,168745,60,749022,3.55%,17.16582,170.29,275.4
