Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/aura?r=25&ui-search-components-forcesearch-sgdp.MRUCache.getGlobalMrus=1-311,3190,528,442,663,729,2259,341,3833,0.000%,1.79986,6.68,3.83
/aura?r=26&ui-search-components-forcesearch-experiment.Experiment.startExperiment=1&ui-search-components-forcesearch-typeaheaddataprovider.TypeAheadDataProvider.getTypeaheadItems=1-313,3190,270,224,282,333,1961,174,2761,0.000%,1.80009,3.78,8.03
/aura?r=27&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-314,3190,207,159,291,326,1829,130,2214,0.000%,1.80027,3.23,143.96
/apex/ctipage-315,3190,214,150,377,408,792,116,2317,0.000%,1.80030,5.48,1.56
/visualforce/recsession-317,3190,258,221,269,308,1980,192,2554,0.000%,1.80021,6.78,3.58
/aura?r=28&ui-federated-search-components-federatedsearch-externalscopeslistdataprovider.ExternalScopesListDataProvider.getScopeMaps=1-319,3190,125,104,129,149,358,91,3542,0.000%,1.80034,3.00,4.00
/apex/ctipage-320,3190,162,136,169,194,662,114,2426,0.000%,1.80030,5.48,1.56
/aura?r=29&ui-search-components-forcesearch-topresultsdataprovider.TopResultsDataProvider.getItems=1-321,3189,424,380,459,531,2058,282,3240,0.000%,1.80249,6.46,9.55
/resource/1604338975000/softphone_it__jquery-328,3189,123,84,129,328,716,72,2151,0.000%,1.80284,2.98,1.67
/resource/1604339094000/sfdcLogger-331,100,83,81,92,97,123,73,131,0.000%,1.73406,1.35,1.38
/resource/1604339094000/iwsprescript-330,100,82,80,88,94,125,74,149,0.000%,1.73461,4.48,1.39
/resource/1604338975000/softphone_it__softphone_connector_core-329,3189,101,83,112,164,311,71,2160,0.000%,1.80376,2.76,1.54
/resource/1604339094000/iwsstyle-332,100,83,81,90,98,146,74,151,0.000%,1.73491,2.52,1.41
/aura?r=30&ui-force-components-controllers-lists-listViewManagerGrid.ListViewManagerGrid.getRecordLayoutComponent=1-333,3189,177,151,188,210,1225,128,2348,0.000%,1.80387,8.15,6.38
/aura?r=31&ui-force-components-controllers-lists-listViewManagerGrid.ListViewManagerGrid.getRecordLayoutComponent=1-334,3189,178,158,189,212,436,134,2306,0.000%,1.80386,8.48,6.38
/aura?r=32&ui-search-components-forcesearch-sgdp.ScopesCache.getScopeMaps=1-336,3189,186,166,199,217,451,139,2132,0.000%,1.80382,4.56,5.73
/aura?r=33&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-337,3189,232,194,264,313,1916,159,2532,0.000%,1.80386,3.24,234.82
/visualforce/session-340,3189,399,400,610,683,2295,158,2638,0.000%,1.80365,5.96,3.49
/visualforce/session-341,3189,208,178,215,245,1897,155,2657,0.000%,1.80365,3.66,4.01
/aura?r=34&ui-force-components-controllers-platformStateManager.PlatformStateManager.getFlexipageInfo=1-342,3189,140,117,142,169,398,102,2274,0.000%,1.80370,3.49,6.54
/visualforce/recsession-343,3189,94,82,101,114,206,71,1989,0.000%,1.80374,1.03,1.55
/visualforce/recsession-344,3189,90,81,99,111,193,71,1971,0.000%,1.80373,1.06,1.58
/resource/1604913866000/iwsscript-349,100,83,80,90,111,133,73,219,0.000%,1.73286,5.96,1.38
/resource/1604853796000/iwsutil-351,100,81,79,90,92,103,74,109,0.000%,1.73313,7.11,1.38
/resource/1604339094000/wdeintegration-350,100,82,80,89,93,133,73,192,0.000%,1.73310,2.13,1.39
/resource/1604339094000/logo_softphone-353,100,84,82,90,98,121,76,122,0.000%,1.73310,36.61,1.41
/resource/1604339094000/iwsconfig-352,100,84,78,89,117,219,73,274,0.000%,1.73340,3.04,1.38
04. Search Customer,3189,4146,3800,5593,5835,6398,2976,8366,0.000%,1.79922,88.20,449.30
